City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
197,Berdigestyakh,RU,62.0989,126.6992,87.82,36,22,7.9,few clouds
198,San-Pedro,CI,4.7485,-6.6363,73.56,77,61,8.12,broken clouds
199,Tuatapere,NZ,-46.1333,167.6833,43.68,89,98,7.85,light rain
200,Chicama,PE,-7.8447,-79.1469,59.54,84,26,5.61,scattered clouds
201,Boende,CD,-0.2167,20.8667,71.22,95,100,2.66,overcast clouds
202,Kieta,PG,-6.2167,155.6333,83.46,71,94,4.14,light rain
203,San Patricio,US,28.017,-97.5169,85.89,71,82,14.03,broken clouds
204,Kananga,CD,-5.8958,22.4178,68.59,50,49,1.68,scattered clouds
205,Butaritari,KI,3.0707,172.7902,82.08,73,58,14.52,broken clouds
206,Baruun-Urt,MN,46.6806,113.2792,77.25,39,36,4.32,scattered clouds
207,Fortuna,US,40.5982,-124.1573,59.34,91,100,8.05,overcast clouds
208,Hella,NO,67.2,14.4333,51.94,85,100,11.5,overcast clouds
209,Porto Nacional,BR,-10.7081,-48.4172,71.6,39,2,1.59,clear sky
210,Upernavik,GL,72.7868,-56.1549,41.61,73,93,6.64,overcast clouds
211,Sokolo,ML,14.7328,-6.1219,76.66,80,100,7.36,heavy intensity rain
212,Tasiilaq,GL,65.6145,-37.6368,39.36,95,100,3.31,overcast clouds
213,Foz,ES,43.5692,-7.2544,63.1,83,84,3.18,broken clouds
214,Pimenta Bueno,BR,-11.6725,-61.1936,72.55,45,38,1.43,scattered clouds
215,High Rock,BS,26.6208,-78.2833,83.28,72,11,14.43,few clouds
216,Paracuru,BR,-3.41,-39.0306,80.11,86,84,12.21,broken clouds
217,Ayorou,NE,14.7308,0.9174,75.56,73,100,9.06,moderate rain
218,Ribeira Grande,PT,38.5167,-28.7,72.84,79,13,3.51,few clouds
219,Uvira,CD,-3.4067,29.1458,73.87,73,93,3.36,overcast clouds
220,Abhar,IR,36.1468,49.218,63.75,86,67,7.23,broken clouds
221,Victoria,HK,22.2855,114.1577,95.05,67,95,4.0,overcast clouds
222,Clyde River,CA,70.4692,-68.5914,37.63,100,100,6.91,overcast clouds
223,Muros,ES,42.7762,-9.0603,66.09,84,70,2.84,broken clouds
224,Victoria Point,AU,-27.5833,153.3,73.18,45,0,5.01,clear sky
225,Polson,US,47.6936,-114.1632,85.21,44,42,3.09,scattered clouds
226,Sinnamary,GF,5.3833,-52.95,77.61,86,89,7.07,overcast clouds
227,Fairbanks,US,64.8378,-147.7164,67.01,49,40,9.22,scattered clouds
228,Lahad Datu,MY,5.0268,118.327,84.85,67,100,3.78,overcast clouds
229,Kloulklubed,PW,7.0419,134.2556,82.9,74,100,9.8,overcast clouds
230,Nileshwar,IN,12.25,75.1,80.71,86,30,4.36,scattered clouds
231,Katsuura,JP,35.1333,140.3,84.78,76,22,12.62,few clouds
232,Bandarbeyla,SO,9.4942,50.8122,76.64,75,68,23.38,broken clouds
233,Qingdao,CN,36.0986,120.3719,80.2,83,20,6.71,few clouds
234,Dingle,PH,10.9995,122.6711,83.7,80,100,10.4,overcast clouds
235,Husavik,IS,66.0449,-17.3389,47.3,94,100,11.3,overcast clouds
236,Inhambane,MZ,-23.865,35.3833,59.79,84,7,5.99,clear sky
237,Port Keats,AU,-14.25,129.55,86.52,27,48,3.6,scattered clouds
238,Jurm,AF,36.8648,70.8342,79.07,38,2,3.24,clear sky
239,Tuktoyaktuk,CA,69.4541,-133.0374,44.6,81,100,16.11,overcast clouds
240,Dunedin,NZ,-45.8742,170.5036,48.79,70,99,3.0,overcast clouds
241,Victor Harbor,AU,-35.5667,138.6167,53.67,87,100,11.9,overcast clouds
242,Darya Khan,PK,31.7912,71.1039,89.1,66,98,8.52,overcast clouds
243,Lebu,CL,-37.6167,-73.65,47.66,87,7,19.51,clear sky
244,Arlit,NE,18.7369,7.3853,85.95,47,61,4.85,broken clouds
245,Garden City,US,42.3256,-83.331,73.98,60,75,8.05,broken clouds
246,Alofi,NU,-19.0595,-169.9187,78.69,78,75,17.27,broken clouds
247,Coquimbo,CL,-29.9533,-71.3436,53.33,93,0,3.44,clear sky
248,Karasjok,NO,69.4719,25.5112,48.74,80,88,0.78,overcast clouds
249,Bambous Virieux,MU,-20.3428,57.7575,70.05,68,40,6.91,scattered clouds
250,Pierre,US,44.3683,-100.351,73.85,54,0,9.22,clear sky
251,Koungou,YT,-12.7336,45.2042,69.51,94,20,4.61,few clouds
252,Rockport,US,28.0206,-97.0544,86.05,83,40,16.11,scattered clouds
253,Kirkwood,US,38.5834,-90.4068,74.52,95,85,3.0,overcast clouds
254,Preobrazheniye,RU,42.9019,133.9064,77.4,76,100,8.86,overcast clouds
255,Chuy,UY,-33.6971,-53.4616,49.5,79,100,15.46,overcast clouds
256,Beloha,MG,-25.1667,45.05,62.94,82,0,11.9,clear sky
257,Parabel,RU,58.6978,81.4825,61.16,73,100,9.48,overcast clouds
258,Yinchuan,CN,38.4681,106.2731,88.03,25,0,8.16,clear sky
259,Saint George,US,37.1041,-113.5841,86.59,48,100,11.5,light rain
260,Bamiantong,CN,44.9333,130.5333,82.89,67,64,7.83,broken clouds
261,Sembe,CG,1.6481,14.5806,68.72,95,100,2.89,overcast clouds
